,continent,location,date,total_cases,total_deaths,gdp_per_capita,human_development_index,month
0,Asia,Afghanistan,2019-12-31,0.0,0.0,1803.987,0.498,12
1,Asia,Afghanistan,2020-01-01,0.0,0.0,1803.987,0.498,1
2,Asia,Afghanistan,2020-02-01,0.0,0.0,1803.987,0.498,2
3,Asia,Afghanistan,2020-03-01,0.0,0.0,1803.987,0.498,3
4,Asia,Afghanistan,2020-04-01,0.0,0.0,1803.987,0.498,4
5,Asia,Afghanistan,2020-05-01,0.0,0.0,1803.987,0.498,5
6,Asia,Afghanistan,2020-06-01,0.0,0.0,1803.987,0.498,6
7,Asia,Afghanistan,2020-07-01,0.0,0.0,1803.987,0.498,7
8,Asia,Afghanistan,2020-08-01,0.0,0.0,1803.987,0.498,8
9,Asia,Afghanistan,2020-09-01,0.0,0.0,1803.987,0.498,9
10,Asia,Afghanistan,2020-10-01,0.0,0.0,1803.987,0.498,10
11,Asia,Afghanistan,2020-11-01,0.0,0.0,1803.987,0.498,11
12,Asia,Afghanistan,2020-12-01,0.0,0.0,1803.987,0.498,12
13,Asia,Afghanistan,2020-01-13,0.0,0.0,1803.987,0.498,1
14,Asia,Afghanistan,2020-01-14,0.0,0.0,1803.987,0.498,1
15,Asia,Afghanistan,2020-01-15,0.0,0.0,1803.987,0.498,1
16,Asia,Afghanistan,2020-01-16,0.0,0.0,1803.987,0.498,1
17,Asia,Afghanistan,2020-01-17,0.0,0.0,1803.987,0.498,1
18,Asia,Afghanistan,2020-01-18,0.0,0.0,1803.987,0.498,1
19,Asia,Afghanistan,2020-01-19,0.0,0.0,1803.987,0.498,1
20,Asia,Afghanistan,2020-01-20,0.0,0.0,1803.987,0.498,1
21,Asia,Afghanistan,2020-01-21,0.0,0.0,1803.987,0.498,1
22,Asia,Afghanistan,2020-01-22,0.0,0.0,1803.987,0.498,1
23,Asia,Afghanistan,2020-01-23,0.0,0.0,1803.987,0.498,1
24,Asia,Afghanistan,2020-01-24,0.0,0.0,1803.987,0.498,1
25,Asia,Afghanistan,2020-01-25,0.0,0.0,1803.987,0.498,1
26,Asia,Afghanistan,2020-01-26,0.0,0.0,1803.987,0.498,1
27,Asia,Afghanistan,2020-01-27,0.0,0.0,1803.987,0.498,1
28,Asia,Afghanistan,2020-01-28,0.0,0.0,1803.987,0.498,1
29,Asia,Afghanistan,2020-01-29,0.0,0.0,1803.987,0.498,1
30,Asia,Afghanistan,2020-01-30,0.0,0.0,1803.987,0.498,1
31,Asia,Afghanistan,2020-01-31,0.0,0.0,1803.987,0.498,1
32,Asia,Afghanistan,2020-01-02,0.0,0.0,1803.987,0.498,1
33,Asia,Afghanistan,2020-02-02,0.0,0.0,1803.987,0.498,2
34,Asia,Afghanistan,2020-03-02,0.0,0.0,1803.987,0.498,3
35,Asia,Afghanistan,2020-04-02,0.0,0.0,1803.987,0.498,4
36,Asia,Afghanistan,2020-05-02,0.0,0.0,1803.987,0.498,5
37,Asia,Afghanistan,2020-06-02,0.0,0.0,1803.987,0.498,6
38,Asia,Afghanistan,2020-07-02,0.0,0.0,1803.987,0.498,7
39,Asia,Afghanistan,2020-08-02,0.0,0.0,1803.987,0.498,8
40,Asia,Afghanistan,2020-09-02,0.0,0.0,1803.987,0.498,9
41,Asia,Afghanistan,2020-10-02,0.0,0.0,1803.987,0.498,10
42,Asia,Afghanistan,2020-11-02,0.0,0.0,1803.987,0.498,11
43,Asia,Afghanistan,2020-12-02,0.0,0.0,1803.987,0.498,12
44,Asia,Afghanistan,2020-02-13,0.0,0.0,1803.987,0.498,2
45,Asia,Afghanistan,2020-02-14,0.0,0.0,1803.987,0.498,2
46,Asia,Afghanistan,2020-02-15,0.0,0.0,1803.987,0.498,2
47,Asia,Afghanistan,2020-02-16,0.0,0.0,1803.987,0.498,2
48,Asia,Afghanistan,2020-02-17,0.0,0.0,1803.987,0.498,2
49,Asia,Afghanistan,2020-02-18,0.0,0.0,1803.987,0.498,2
50,Asia,Afghanistan,2020-02-19,0.0,0.0,1803.987,0.498,2
51,Asia,Afghanistan,2020-02-20,0.0,0.0,1803.987,0.498,2
52,Asia,Afghanistan,2020-02-21,0.0,0.0,1803.987,0.498,2
53,Asia,Afghanistan,2020-02-22,0.0,0.0,1803.987,0.498,2
54,Asia,Afghanistan,2020-02-23,0.0,0.0,1803.987,0.498,2
55,Asia,Afghanistan,2020-02-24,0.0,0.0,1803.987,0.498,2
56,Asia,Afghanistan,2020-02-25,1.0,0.0,1803.987,0.498,2
57,Asia,Afghanistan,2020-02-26,1.0,0.0,1803.987,0.498,2
58,Asia,Afghanistan,2020-02-27,1.0,0.0,1803.987,0.498,2
59,Asia,Afghanistan,2020-02-28,1.0,0.0,1803.987,0.498,2
60,Asia,Afghanistan,2020-02-29,1.0,0.0,1803.987,0.498,2
61,Asia,Afghanistan,2020-01-03,1.0,0.0,1803.987,0.498,1
62,Asia,Afghanistan,2020-02-03,1.0,0.0,1803.987,0.498,2
63,Asia,Afghanistan,2020-03-03,0.0,0.0,1803.987,0.498,3
64,Asia,Afghanistan,2020-04-03,0.0,0.0,1803.987,0.498,4
65,Asia,Afghanistan,2020-05-03,0.0,0.0,1803.987,0.498,5
66,Asia,Afghanistan,2020-06-03,0.0,0.0,1803.987,0.498,6
67,Asia,Afghanistan,2020-07-03,0.0,0.0,1803.987,0.498,7
68,Asia,Afghanistan,2020-08-03,4.0,0.0,1803.987,0.498,8
69,Asia,Afghanistan,2020-09-03,0.0,0.0,1803.987,0.498,9
70,Asia,Afghanistan,2020-10-03,0.0,0.0,1803.987,0.498,10
71,Asia,Afghanistan,2020-11-03,7.0,0.0,1803.987,0.498,11
72,Asia,Afghanistan,2020-12-03,0.0,0.0,1803.987,0.498,12
73,Asia,Afghanistan,2020-03-13,0.0,0.0,1803.987,0.498,3
74,Asia,Afghanistan,2020-03-14,0.0,0.0,1803.987,0.498,3
75,Asia,Afghanistan,2020-03-15,10.0,0.0,1803.987,0.498,3
76,Asia,Afghanistan,2020-03-16,16.0,0.0,1803.987,0.498,3
77,Asia,Afghanistan,2020-03-17,21.0,0.0,1803.987,0.498,3
78,Asia,Afghanistan,2020-03-18,22.0,0.0,1803.987,0.498,3
79,Asia,Afghanistan,2020-03-19,22.0,0.0,1803.987,0.498,3
